STUDENT ID,ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,50ENGLISH.C,50SOCIAL.C,50RME.C,50MATHS.C,50SCI.C,50COM.C,50FRE.C,50GAN.C,50CTECH.C,CART.C,Student_ID
4056,90.0,18.0,75.0,83.0,82.0,62.0,63.0,68.0,54.0,55.0,45.0,9.0,37.5,41.5,41.0,31.0,31.5,34.0,27.0,27.5,ST0001
567,70.0,74.0,65.0,68.0,80.0,66.0,44.0,45.0,53.0,71.0,35.0,37.0,32.5,34.0,40.0,33.0,22.0,22.5,26.5,35.5,ST0002
749,77.0,90.0,82.0,54.0,55.0,79.0,83.0,58.0,48.0,48.0,38.5,45.0,41.0,27.0,27.5,39.5,41.5,29.0,24.0,24.0,ST0003
2050,66.0,76.0,82.0,60.0,68.0,69.0,67.0,42.0,52.0,56.0,33.0,38.0,41.0,30.0,34.0,34.5,33.5,21.0,26.0,28.0,ST0004
696,74.0,66.0,73.0,38.0,70.0,68.0,39.0,51.0,51.0,52.0,37.0,33.0,36.5,19.0,35.0,34.0,19.5,25.5,25.5,26.0,ST0005
435,58.0,74.0,74.0,36.0,81.0,69.0,39.0,36.0,57.0,62.0,29.0,37.0,37.0,18.0,40.5,34.5,19.5,18.0,28.5,31.0,ST0006
4240,60.0,66.0,80.0,36.0,77.0,76.0,39.0,42.0,54.0,74.0,30.0,33.0,40.0,18.0,38.5,38.0,19.5,21.0,27.0,37.0,ST0007
727,79.0,74.0,79.0,100.0,65.0,76.0,62.0,43.0,53.0,57.0,39.5,37.0,39.5,50.0,32.5,38.0,31.0,21.5,26.5,28.5,ST0008
385,92.0,64.0,84.0,90.0,64.0,86.0,80.0,71.0,55.0,62.0,46.0,32.0,42.0,45.0,32.0,43.0,40.0,35.5,27.5,31.0,ST0009
A319,60.0,88.0,70.0,90.0,68.0,67.0,43.0,60.0,47.0,77.0,30.0,44.0,35.0,45.0,34.0,33.5,21.5,30.0,23.5,38.5,ST0010
714,80.0,83.0,81.0,68.0,65.0,72.0,39.0,64.0,50.0,75.0,40.0,41.5,40.5,34.0,32.5,36.0,19.5,32.0,25.0,37.5,ST0011
7334,88.0,96.0,84.0,36.0,72.0,83.0,57.0,70.0,61.0,71.0,44.0,48.0,42.0,18.0,36.0,41.5,28.5,35.0,30.5,35.5,ST0012
