STUDENT ID,ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,50ENGLISH.C,50SOCIAL.C,50RME.C,50MATHS.C,50SCI.C,50COM.C,50FRE.C,50GAN.C,50CTECH.C,CART.C,Student_ID
437,60.0,94.0,81.0,60.0,76.0,75.0,61.0,72.0,58.0,66.0,30.0,47.0,40.5,30.0,38.0,37.5,30.5,36.0,29.0,33.0,ST0013
271,86.0,77.0,69.0,36.0,65.0,68.0,42.0,52.0,49.0,70.0,43.0,38.5,34.5,18.0,32.5,34.0,21.0,26.0,24.5,35.0,ST0014
300,66.0,78.0,76.0,90.0,77.0,68.0,47.0,51.0,54.0,70.0,33.0,39.0,38.0,45.0,38.5,34.0,23.5,25.5,27.0,35.0,ST0015
A070,74.0,88.0,71.0,86.0,56.0,67.0,49.0,50.0,50.0,69.0,37.0,44.0,35.5,43.0,28.0,33.5,24.5,25.0,25.0,34.5,ST0016
267,84.0,66.0,77.0,46.0,73.0,78.0,63.0,77.0,62.0,75.0,42.0,33.0,38.5,23.0,36.5,39.0,31.5,38.5,31.0,37.5,ST0017
503,62.0,80.0,63.0,84.0,84.0,74.0,49.0,74.0,61.0,65.0,31.0,40.0,31.5,42.0,42.0,37.0,24.5,37.0,30.5,32.5,ST0018
459,70.0,82.0,83.0,68.0,70.0,82.0,64.0,60.0,51.0,62.0,35.0,41.0,41.5,34.0,35.0,41.0,32.0,30.0,25.5,31.0,ST0019
436,77.0,62.0,71.0,58.0,65.0,67.0,55.0,53.0,50.0,76.0,38.5,31.0,35.5,29.0,32.5,33.5,27.5,26.5,25.0,38.0,ST0020
309,70.0,66.0,84.0,80.0,74.0,66.0,43.0,51.0,56.0,78.0,35.0,33.0,42.0,40.0,37.0,33.0,21.5,25.5,28.0,39.0,ST0021
645,65.0,68.0,67.0,68.0,61.0,74.0,39.0,45.0,46.0,75.0,32.5,34.0,33.5,34.0,30.5,37.0,19.5,22.5,23.0,37.5,ST0022
4070,74.0,84.0,72.0,60.0,82.0,81.0,80.0,78.0,55.0,75.0,37.0,42.0,36.0,30.0,41.0,40.5,40.0,39.0,27.5,37.5,ST0023
624,74.0,82.0,64.0,75.0,75.0,80.0,88.0,60.0,54.0,81.0,37.0,41.0,32.0,37.5,37.5,40.0,44.0,30.0,27.0,40.5,ST0024
387,76.0,86.0,78.0,68.0,74.0,79.0,80.0,61.0,54.0,77.0,38.0,43.0,39.0,34.0,37.0,39.5,40.0,30.5,27.0,38.5,ST0025
554,96.0,77.0,81.0,92.0,86.0,81.0,83.0,69.0,60.0,78.0,48.0,38.5,40.5,46.0,43.0,40.5,41.5,34.5,30.0,39.0,ST0026
365,66.0,84.0,82.0,36.0,67.0,74.0,47.0,74.0,50.0,78.0,33.0,42.0,41.0,18.0,33.5,37.0,23.5,37.0,25.0,39.0,ST0027
445,76.0,76.0,82.0,58.0,64.0,81.0,87.0,53.0,51.0,69.0,38.0,38.0,41.0,29.0,32.0,40.5,43.5,26.5,25.5,34.5,ST0028
A071,66.0,69.0,87.0,58.0,69.0,77.0,81.0,63.0,48.0,70.0,33.0,34.5,43.5,29.0,34.5,38.5,40.5,31.5,24.0,35.0,ST0029
511,66.0,58.0,76.0,58.0,67.0,74.0,73.0,48.0,56.0,84.0,33.0,29.0,38.0,29.0,33.5,37.0,36.5,24.0,28.0,42.0,ST0030
698,74.0,68.0,66.0,68.0,83.0,69.0,19.0,80.0,61.0,79.0,37.0,34.0,33.0,34.0,41.5,34.5,9.5,40.0,30.5,39.5,ST0031
432,64.0,86.0,85.0,100.0,61.0,84.0,81.0,74.0,52.0,73.0,32.0,43.0,42.5,50.0,30.5,42.0,40.5,37.0,26.0,36.5,ST0032
320,68.0,86.0,78.0,36.0,66.0,73.0,66.0,69.0,53.0,87.0,34.0,43.0,39.0,18.0,33.0,36.5,33.0,34.5,26.5,43.5,ST0033
2325,60.0,80.0,73.0,74.0,80.0,75.0,94.0,64.0,54.0,83.0,30.0,40.0,36.5,37.0,40.0,37.5,47.0,32.0,27.0,41.5,ST0034
272,75.0,68.0,68.0,86.0,81.0,81.0,68.0,71.0,59.0,82.0,37.5,34.0,34.0,43.0,40.5,40.5,34.0,35.5,29.5,41.0,ST0035
643,80.0,86.0,79.0,96.0,79.0,85.0,82.0,79.0,58.0,73.0,40.0,43.0,39.5,48.0,39.5,42.5,41.0,39.5,29.0,36.5,ST0036
4062,86.0,85.0,58.0,82.0,78.0,72.0,39.0,43.0,56.0,93.0,43.0,42.5,29.0,41.0,39.0,36.0,19.5,21.5,28.0,46.5,ST0037
670,72.0,70.0,77.0,68.0,89.0,73.0,44.0,57.0,57.0,80.0,36.0,35.0,38.5,34.0,44.5,36.5,22.0,28.5,28.5,40.0,ST0038
269,75.0,86.0,72.0,90.0,89.0,80.0,68.0,68.0,,69.0,37.5,43.0,36.0,45.0,44.5,40.0,34.0,34.0,,34.5,ST0039
514,77.0,88.0,67.0,74.0,88.0,82.0,41.0,84.0,67.0,78.0,38.5,44.0,33.5,37.0,44.0,41.0,20.5,42.0,33.5,39.0,ST0040
270,85.0,80.0,71.0,62.0,86.0,73.0,80.0,65.0,50.0,83.0,42.5,40.0,35.5,31.0,43.0,36.5,40.0,32.5,25.0,41.5,ST0041
318,80.0,84.0,83.0,75.0,90.0,84.0,83.0,72.0,62.0,87.0,40.0,42.0,41.5,37.5,45.0,42.0,41.5,36.0,31.0,43.5,ST0042
4063,90.0,78.0,81.0,82.0,76.0,86.0,89.0,87.0,67.0,61.0,45.0,39.0,40.5,41.0,38.0,43.0,44.5,43.5,33.5,30.5,ST0043
160,78.0,83.0,86.0,60.0,89.0,80.0,48.0,81.0,55.0,78.0,39.0,41.5,43.0,30.0,44.5,40.0,24.0,40.5,27.5,39.0,ST0044
7315,84.0,69.0,81.0,74.0,74.0,73.0,81.0,58.0,54.0,70.0,42.0,34.5,40.5,37.0,37.0,36.5,40.5,29.0,27.0,35.0,ST0045
385,80.0,79.0,76.0,42.0,85.0,85.0,75.0,67.0,61.0,89.0,40.0,39.5,38.0,21.0,42.5,42.5,37.5,33.5,30.5,44.5,ST0058
A244,69.0,79.0,81.0,56.0,86.0,84.0,74.0,67.0,59.0,76.0,34.5,39.5,40.5,28.0,43.0,42.0,37.0,33.5,29.5,38.0,ST0046
508,60.0,80.0,70.0,70.0,79.0,75.0,72.0,68.0,57.0,67.0,30.0,40.0,35.0,35.0,39.5,37.5,36.0,34.0,28.5,33.5,ST0047
433,68.0,81.0,79.0,68.0,82.0,84.0,90.0,71.0,62.0,82.0,34.0,40.5,39.5,34.0,41.0,42.0,45.0,35.5,31.0,41.0,ST0048
744,0.0,0.0,39.0,18.0,15.0,19.0,0.0,16.0,9.0,17.0,0.0,0.0,19.5,9.0,7.5,9.5,0.0,8.0,4.5,8.5,ST0049
593,79.0,75.0,49.0,47.0,67.0,79.0,39.0,69.0,59.0,84.0,39.5,37.5,24.5,23.5,33.5,39.5,19.5,34.5,29.5,42.0,ST0050
388,87.0,79.0,82.0,68.0,82.0,87.0,84.0,84.0,65.0,81.0,43.5,39.5,41.0,34.0,41.0,43.5,42.0,42.0,32.5,40.5,ST0051
437,80.0,72.0,77.0,59.0,69.0,77.0,74.0,65.0,50.0,82.0,40.0,36.0,38.5,29.5,34.5,38.5,37.0,32.5,25.0,41.0,ST0059
709,57.0,85.0,81.0,62.0,90.0,72.0,58.0,66.0,62.0,79.0,28.5,42.5,40.5,31.0,45.0,36.0,29.0,33.0,31.0,39.5,ST0052
140,78.0,82.0,80.0,58.0,90.0,80.0,88.0,75.0,57.0,80.0,39.0,41.0,40.0,29.0,45.0,40.0,44.0,37.5,28.5,40.0,ST0053
4065,96.0,91.0,80.0,80.0,94.0,82.0,76.0,78.0,61.0,88.0,48.0,45.5,40.0,40.0,47.0,41.0,38.0,39.0,30.5,44.0,ST0054
616,96.0,92.0,68.0,46.0,97.0,80.0,92.0,73.0,65.0,90.0,48.0,46.0,34.0,23.0,48.5,40.0,46.0,36.5,32.5,45.0,ST0055
339,86.0,81.0,65.0,58.0,87.0,76.0,76.0,60.0,61.0,79.0,43.0,40.5,32.5,29.0,43.5,38.0,38.0,30.0,30.5,39.5,ST0056
768,59.0,53.0,50.0,53.0,42.0,57.0,64.0,43.0,51.0,65.0,29.5,26.5,25.0,26.5,21.0,28.5,32.0,21.5,25.5,32.5,ST0057
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
